publicid,eventtype,datetime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p379509,,2017-05-21T10:02:30.887Z,2017-05-21T10:04:17.692Z,173.5548215,-42.48616179,1.773509211,30.3125,M,,NonLinLoc,,automatic,nz3drx,10,10,2,0.07103962086,202.788519,0.3801917157,0
2017p379480,,2017-05-21T09:47:04.829Z,2017-05-21T09:48:40.798Z,177.7597161,-38.56612167,1.864655113,16.015625,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.1397576856,105.0594238,0.4875346497,0
2017p379414,earthquake,2017-05-21T09:12:06.518Z,2017-05-21T18:50:33.172Z,175.7072296,-38.93335724,0.9780888867,0,M,,LOCSAT,confirmed,manual,iasp91,10,10,6,0.0425928086,160.5094719,0.2088364743,0
2017p379399,,2017-05-21T09:04:06.483Z,2017-05-21T09:06:09.575Z,177.0535098,-39.14680599,1.650626697,27.03125,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.126454874,139.1979593,0.2405538014,0
2017p379394,,2017-05-21T09:01:23.881Z,2017-05-21T09:03:40.596Z,177.1387331,-37.75139411,2.010500139,52.8125,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.4666014117,192.0379525,0.705456574,0
2017p379375,,2017-05-21T08:51:30.023Z,2017-05-21T08:53:41.549Z,178.3779112,-38.40939708,1.941230468,32.1875,M,,NonLinLoc,,automatic,nz3drx,15,15,6,0.1577594474,237.7573501,0.8372558563,0
2017p379362,earthquake,2017-05-21T08:44:07.091Z,2017-05-21T18:53:24.909Z,175.7184296,-38.9291954,1.0343096,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,11,7,0.04920589551,156.8385925,0.1399071373,0
2017p379290,earthquake,2017-05-21T08:06:10.438Z,2017-05-21T18:53:01.474Z,175.7046204,-38.91707611,1.369757513,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,12,7,0.05824209005,172.796566,0.08503043607,0
2017p379268,,2017-05-21T07:54:29.191Z,2017-05-21T07:56:11.090Z,174.2828004,-41.71819522,1.732898429,15.78125,M,,NonLinLoc,,automatic,nz3drx,16,16,5,0.0611528665,151.1413738,0.3700460355,0
2017p379231,earthquake,2017-05-21T07:34:30.362Z,2017-05-21T18:54:02.440Z,175.7093964,-38.92296219,1.445433262,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,13,11,0.05309052765,129.9166045,0.0907596352,0
2017p379199,,2017-05-21T07:17:19.002Z,2017-05-21T07:19:52.716Z,171.3806373,-43.44453365,1.887434164,9.453125,M,,NonLinLoc,,automatic,nz3drx,11,11,2,0.162741474,77.75477464,0.5250068082,0
2017p379194,,2017-05-21T07:14:42.295Z,2017-05-21T07:16:39.467Z,176.9343353,-38.14166211,2.398999276,85.625,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.1791396267,143.2855835,1.331433694,0
2017p379193,,2017-05-21T07:14:09.452Z,2017-05-21T07:16:14.778Z,176.4263953,-40.1081482,1.786345815,5.1171875,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.04382412745,104.4614405,0.3203961709,0
2017p379188,,2017-05-21T07:11:56.445Z,2017-05-21T07:14:22.606Z,176.1221895,-40.34779351,2.609954352,5.234375,M,,NonLinLoc,,automatic,nz3drx,21,21,12,0.05878986188,136.1822948,0.97672177,0
2017p379187,,2017-05-21T07:11:24.187Z,2017-05-21T07:13:31.428Z,177.1011254,-38.91664509,2.4172516,7.8125,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.01188880926,245.1351813,0.8097101964,0
2017p379184,,2017-05-21T07:09:28.918Z,2017-05-21T07:11:25.777Z,172.251584,-43.2189507,1.63565416,10.390625,M,,NonLinLoc,,automatic,nz3drx,15,15,1,0.1878000208,69.6100588,0.9844713925,0
2017p379182,,2017-05-21T07:09:11.280Z,2017-05-21T07:12:34.778Z,177.7469078,-37.73695867,2.881779718,50.9375,M,,NonLinLoc,,automatic,nz3drx,67,67,37,0.03355222664,158.7475083,1.997429023,0
2017p379171,,2017-05-21T07:02:55.583Z,2017-05-21T07:04:53.688Z,176.0649034,-38.95497935,0.8905681545,66.875,M,,NonLinLoc,,automatic,nz3drx,11,11,1,0.2890546339,62.20784837,0.9641753902,0
2017p379158,,2017-05-21T06:55:26.183Z,2017-05-21T06:57:13.631Z,173.5160307,-41.25677863,2.041934598,69.6875,M,,NonLinLoc,,automatic,nz3drx,14,14,5,0.1096154707,94.30503012,0.4930434569,0
2017p379021,earthquake,2017-05-21T05:42:42.348Z,2017-05-21T21:00:02.352Z,174.1384277,-41.70342636,3.350314382,10.04643345,M,,LOCSAT,confirmed,manual,iasp91,26,17,13,0.0725267753,82.95059204,0.6389579367,0
